1, none, biomesoplenty:origin_valley, MONSTER, alexsmobs:centipede_head,10,1,1
2, none, biomesoplenty:origin_valley, MONSTER, lurkermod:lurker,35,1,1
3, none, biomesoplenty:origin_valley, MONSTER, minecraft:creeper,50,4,4
4, none, biomesoplenty:origin_valley, MONSTER, minecraft:skeleton,50,4,4
5, none, biomesoplenty:origin_valley, MONSTER, minecraft:slime,50,4,4
6, none, biomesoplenty:origin_valley, MONSTER, minecraft:spider,50,4,4
7, none, biomesoplenty:origin_valley, MONSTER, minecraft:zombie,50,4,4
8, none, biomesoplenty:origin_valley, CREATURE, alexsmobs:fly,10,2,3
9, none, biomesoplenty:origin_valley, AMBIENT, alexsmobs:cockroach,10,5,5
10, desert, biomesoplenty:lush_desert, MONSTER, alexsmobs:centipede_head,10,1,1
11, desert, biomesoplenty:lush_desert, MONSTER, alexsmobs:guster,35,1,2
12, desert, biomesoplenty:lush_desert, MONSTER, lurkermod:lurker,35,1,1
13, desert, biomesoplenty:lush_desert, MONSTER, minecraft:creeper,50,4,4
14, desert, biomesoplenty:lush_desert, MONSTER, minecraft:enderman,10,1,4
15, desert, biomesoplenty:lush_desert, MONSTER, minecraft:husk,50,4,4
16, desert, biomesoplenty:lush_desert, MONSTER, minecraft:skeleton,50,4,4
17, desert, biomesoplenty:lush_desert, MONSTER, minecraft:slime,50,4,4
18, desert, biomesoplenty:lush_desert, MONSTER, minecraft:spider,50,4,4
19, desert, biomesoplenty:lush_desert, MONSTER, minecraft:witch,10,1,1
20, desert, biomesoplenty:lush_desert, MONSTER, minecraft:zombie,50,4,4
21, desert, biomesoplenty:lush_desert, MONSTER, minecraft:zombie_villager,10,1,1
22, desert, biomesoplenty:lush_desert, MONSTER, outvoted:hunger,10,1,1
23, desert, biomesoplenty:lush_desert, MONSTER, quark:stoneling,50,1,1
24, desert, biomesoplenty:lush_desert, MONSTER, quark:toretoise,50,1,1
25, desert, biomesoplenty:lush_desert, CREATURE, alexsmobs:elephant,30,3,5
26, desert, biomesoplenty:lush_desert, CREATURE, alexsmobs:fly,10,2,3
27, desert, biomesoplenty:lush_desert, CREATURE, alexsmobs:gazelle,40,7,7
28, desert, biomesoplenty:lush_desert, CREATURE, alexsmobs:rattlesnake,12,1,2
29, desert, biomesoplenty:lush_desert, CREATURE, alexsmobs:roadrunner,15,2,2
30, desert, biomesoplenty:lush_desert, CREATURE, minecraft:rabbit,10,2,3
31, desert, biomesoplenty:lush_desert, CREATURE, cnb:lizard,50,1,1
32, desert, biomesoplenty:lush_desert, AMBIENT, alexsmobs:cockroach,10,5,5
33, desert, biomesoplenty:lush_desert, AMBIENT, minecraft:bat,10,8,8
34, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper,50,4,4
35, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned,10,1,1
36, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman,10,1,4
37, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton,50,4,4
38, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime,50,4,4
39, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider,50,4,4
40, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch,10,1,1
41, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie,50,4,4
42, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager,10,1,1
43, ocean, minecraft:deep_ocean, MONSTER, quark:stoneling,50,1,1
44, ocean, minecraft:deep_ocean, MONSTER, quark:toretoise,50,1,1
45, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat,10,8,8
46, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin,10,1,2
47, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid,10,1,4
48, ocean, minecraft:deep_ocean, WATER_CREATURE, outvoted:kraken,10,1,1
49, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:blobfish,30,2,2
50, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod,10,3,6
51, extreme_hills, biomesoplenty:highland, MONSTER, alexsmobs:centipede_head,10,1,1
52, extreme_hills, biomesoplenty:highland, MONSTER, lurkermod:lurker,35,1,1
53, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:creeper,50,4,4
54, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:enderman,10,1,4
55, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:skeleton,50,4,4
56, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:slime,50,4,4
57, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:spider,50,4,4
58, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:witch,10,1,1
59, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:zombie,50,4,4
60, extreme_hills, biomesoplenty:highland, MONSTER, minecraft:zombie_villager,10,1,1
61, extreme_hills, biomesoplenty:highland, MONSTER, quark:stoneling,50,1,1
62, extreme_hills, biomesoplenty:highland, MONSTER, quark:toretoise,50,1,1
63, extreme_hills, biomesoplenty:highland, MONSTER, savageandravage:iceologer,10,1,1
64, extreme_hills, biomesoplenty:highland, CREATURE, alexsmobs:crow,10,3,5
65, extreme_hills, biomesoplenty:highland, CREATURE, alexsmobs:fly,10,2,3
66, extreme_hills, biomesoplenty:highland, CREATURE, alexsmobs:raccoon,10,2,4
67, extreme_hills, biomesoplenty:highland, CREATURE, alexsmobs:sunbird,10,1,1
68, extreme_hills, biomesoplenty:highland, CREATURE, minecraft:llama,10,4,6
69, extreme_hills, biomesoplenty:highland, AMBIENT, alexsmobs:cockroach,10,5,5
70, extreme_hills, biomesoplenty:highland, AMBIENT, minecraft:bat,10,8,8
71, none, biomesoplenty:tropics, MONSTER, alexsmobs:centipede_head,10,1,1
72, none, biomesoplenty:tropics, MONSTER, lurkermod:lurker,35,1,1
73, none, biomesoplenty:tropics, MONSTER, minecraft:creeper,50,4,4
74, none, biomesoplenty:tropics, MONSTER, minecraft:enderman,10,1,4
75, none, biomesoplenty:tropics, MONSTER, minecraft:skeleton,50,4,4
76, none, biomesoplenty:tropics, MONSTER, minecraft:slime,50,4,4
77, none, biomesoplenty:tropics, MONSTER, minecraft:spider,50,4,4
78, none, biomesoplenty:tropics, MONSTER, minecraft:witch,10,1,1
79, none, biomesoplenty:tropics, CREATURE, alexsmobs:capuchin_monkey,55,9,12
80, none, biomesoplenty:tropics, CREATURE, alexsmobs:fly,10,2,3
81, none, biomesoplenty:tropics, CREATURE, alexsmobs:gorilla,35,7,7
82, none, biomesoplenty:tropics, CREATURE, alexsmobs:hummingbird,39,7,7
83, none, biomesoplenty:tropics, CREATURE, minecraft:parrot,40,1,2
84, none, biomesoplenty:tropics, AMBIENT, alexsmobs:cockroach,10,5,5
85, none, biomesoplenty:tropics, WATER_CREATURE, minecraft:dolphin,10,1,2
86, none, biomesoplenty:tropics, WATER_CREATURE, minecraft:squid,10,4,4
87, none, biomesoplenty:tropics, WATER_AMBIENT, minecraft:pufferfish,15,1,3
88, none, biomesoplenty:tropics, WATER_AMBIENT, minecraft:tropical_fish,25,8,8
89, taiga, biomesoplenty:ominous_mire, MONSTER, alexsmobs:centipede_head,10,1,1
90, taiga, biomesoplenty:ominous_mire, MONSTER, lurkermod:lurker,35,1,1
91, taiga, biomesoplenty:ominous_mire, MONSTER, minecraft:enderman,35,1,4
92, taiga, biomesoplenty:ominous_mire, MONSTER, minecraft:slime,50,4,4
93, taiga, biomesoplenty:ominous_mire, MONSTER, minecraft:spider,50,4,4
94, taiga, biomesoplenty:ominous_mire, MONSTER, minecraft:witch,25,1,1
95, taiga, biomesoplenty:ominous_mire, MONSTER, quark:stoneling,50,1,1
96, taiga, biomesoplenty:ominous_mire, MONSTER, quark:toretoise,50,1,1
97, taiga, biomesoplenty:ominous_mire, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
98, taiga, biomesoplenty:ominous_mire, CREATURE, alexsmobs:crocodile,40,1,2
99, taiga, biomesoplenty:ominous_mire, CREATURE, alexsmobs:crow,10,3,5
100, taiga, biomesoplenty:ominous_mire, CREATURE, alexsmobs:fly,10,2,3
101, taiga, biomesoplenty:ominous_mire, CREATURE, alexsmobs:grizzly_bear,10,2,3
102, taiga, biomesoplenty:ominous_mire, CREATURE, alexsmobs:raccoon,10,2,4
103, taiga, biomesoplenty:ominous_mire, CREATURE, alexsmobs:shoebill,10,1,2
104, taiga, biomesoplenty:ominous_mire, AMBIENT, alexsmobs:cockroach,10,5,5
105, taiga, biomesoplenty:ominous_mire, AMBIENT, minecraft:bat,10,8,8
106, savanna, biomesoplenty:scrubland, MONSTER, alexsmobs:centipede_head,10,1,1
107, savanna, biomesoplenty:scrubland, MONSTER, lurkermod:lurker,35,1,1
